"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"8975897","MODALWAN 1022","In Service/Commission","20020900","2002",108,117,"","Malaysia","Tug",810,0,1102,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Yanmar","6LAAM-UTE","4","Oil",0,"Pemborong Bumijaya Sdn Bhd","Malaysia","Malaysia","Pemborong Bumijaya Sdn Bhd","Malaysia","Malaysia","Pemborong Bumijaya Sdn Bhd","Malaysia","Malaysia","Pemborong Bumijaya Sdn Bhd","5301655","Malaysia","Malaysia","Malaysia","MAL","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8976475","NICK L. SKANSI","In Service/Commission","20020000","2002",650,498,"","United States Of America","Platform Supply Ship",1250,0,1700,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Cummins","KTA-38-M0","4","Oil",0,"Skansi Marine LLC","United States Of America","United States Of America","Skansi Marine LLC","United States Of America","United States Of America","Skansi Marine LLC","United States Of America","United States Of America","Skansi Marine LLC","1975163","United States Of America","United States Of America","United States Of America","USA","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8977053","ZHE LENG 8","In Service/Commission","20010100","2001",645,499,"China Classification Society 2004-08","China, People's Republic Of","Refrigerated Cargo Ship ",440,0,598,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","Z6170ZL","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Ningbo Merchant Shipping Co","China, People's Republic Of","China, People's Republic Of","Xiangshan Haihua","China, People's Republic Of","China, People's Republic Of","Ningbo Merchant Shipping Co","1915837","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8977467","BLACK EGRET","In Service/Commission","20020900","2002",1380,633,"Det Norske Veritas 2006-10","South Africa","Bunkering Tanker",639,0,870,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,1,3,"Scania","D19-60M","4","Oil",0,"KZN Bunkers Pty Ltd","South Africa","South Africa","KZN Bunkers Pty Ltd","South Africa","South Africa","KZN Bunkers Pty Ltd","South Africa","South Africa","KZN Bunkers Pty Ltd","1096561","South Africa","South Africa","South Africa","SAF","KZN Bunkers Pty Ltd","1096561","South Africa","South Africa","SAF","South Africa","  Unknown","","","","","9991001"
"8978071","SUNSTAR","In Service/Commission","20010000","2001",1139,910,"Korean Register of Shipping 2012-09","Korea, South","Fishing Vessel",,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"","","Y","Oil",0,"Sunwoo Corp","Korea, South","Korea, South","Sunwoo Corp","Korea, South","Korea, South","Sunwoo Corp","Korea, South","Korea, South","Sunwoo Corp","5077037","Korea, South","Korea, South","Korea, South","KRS","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8980581","SUMIFUKU MARU","In Service/Commission","20030622","2003",1600,499,"","Japan","General Cargo Ship",736,0,1001,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Niigata","6M34BGT","4","Oil",0,"Mifuku Kaiun","Japan","Japan","Mifuku Kaiun","Japan","Japan","Mifuku Kaiun","Japan","Japan","Mifuku Kaiun","1043140","Japan","Japan","Japan","JPN","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8982773","FLAGMAN","Laid-Up","20101101","2003",92,188,"Russian Maritime Register (Contemplated) 2014-09","Russia","Tug",940,0,1278,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Volvo Penta","D25AM","4","Oil",0,"Makhachkala Port","Russia","Russia","Makhachkala Port","Russia","Russia","Finance Leasing Co","Russia","Russia","Makhachkala Port","1685961","Russia","Russia","Russia","RUS","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8982888","AULAC ANGEL","In Service/Commission","20030100","2003",10198,6883,"Det Norske Veritas 2006-10, Vietnam Register 2003-01","Vietnam","Products Tanker",2940,0,3998,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Chinese Std. Type","G8300ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Aulac Corp","Vietnam","Vietnam","Aulac Corp","Vietnam","Vietnam","Aulac Corp","5011009","Vietnam","Vietnam","Vietnam","VNM","Aulac Corp","5011009","Vietnam","Vietnam","VNM","Vietnam","Aulac Corp","Vietnam","VNM","Vietnam","Vietnam","5011009"
"8983088","MISS GLORIA","In Service/Commission","20030801","2003",242,234,"American Bureau of Shipping 2014-06","United States Of America","Tug",2649,0,3603,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",3,,3,"Caterpillar","3412","4","Oil",0,"Marquette Transportation Co","United States Of America","United States Of America","Marquette Transportation Co","United States Of America","United States Of America","Marquette Transportation Co","United States Of America","United States Of America","Marquette Transportation Co","5474146","United States Of America","United States Of America","United States Of America","USA","Marquette Transportation Co","5474146","United States Of America","United States Of America","USA","United States Of America","  Unknown","","","","","9991001"
"8983222","ODYSSEA QUEST","In Service/Commission","20031120","2003",254,486,"","United States Of America","Platform Supply Ship",1492,1268,2028,1724,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Caterpillar","3508B","4","Oil",0,"Odyssea Marine Inc","United States Of America","United States Of America","Odyssea Vessels Inc","United States Of America","United States Of America","Odyssea Vessels Inc","United States Of America","United States Of America","Odyssea Vessels Inc","1737032","United States Of America","United States Of America","United States Of America","USA","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8985373","SHOMPEN","In Service/Commission","20010800","2001",168,430,"Indian Register of Shipping 2008-00","India","Passenger Ship",1324,0,1800,0,.00,.00,36.00,"DF","Distillate Fuel",.00,"NN","Not Applicable",2,,2,"Yanmar","M200-EN","4","Oil",0,"India Govt","India","India","SCI","India","India","India Govt Andaman & Nicobar","India","India","SCI","0052882","India","India","India","IND","ABS Marine Services Pvt Ltd","5060206","India","India","IND","India","  Unknown","","","","","9991001"
"8985385","KAMORTA","In Service/Commission","20020501","2002",168,430,"Indian Register of Shipping 2002-05","India","Passenger Ship",1324,0,1800,0,.00,.00,37.00,"DF","Distillate Fuel",.00,"NN","Not Applicable",2,,2,"Yanmar","M200-EN","4","Oil",0,"India Govt","India","India","SCI","India","India","India Govt Andaman & Nicobar","India","India","SCI","0052882","India","India","India","IND","SCI","0052882","India","India","IND","India","SCI","India","IND","India","India","0052882"
"8985397","LONG ISLAND","In Service/Commission","20031100","2003",168,430,"Indian Register of Shipping 2007-03","India","Passenger Ship",1324,0,1800,0,.00,.00,37.00,"DF","Distillate Fuel",.00,"NN","Not Applicable",2,,2,"Yanmar","M200-EN","4","Oil",0,"India Govt","India","India","ABS Marine Services Pvt Ltd","India","India","India Govt Andaman & Nicobar","India","India","ABS Marine Services Pvt Ltd","5060206","India","India","India","IND","ABS Marine Services Pvt Ltd","5060206","India","India","IND","India","  Unknown","","","","","9991001"
"8986092","HBC PERFORMER","In Service/Commission","20120402","2003",111,151,"","Belize","Diving Support Vessel",801,0,1089,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Caterpillar","3406C","4","Oil",0,"Hyperbaric Consult ApS","Denmark","Denmark","Hyperbaric Consult ApS","Denmark","Denmark","Hyperbaric Consult ApS","Denmark","Denmark","Hyperbaric Consult ApS","5214223","Denmark","Denmark","Denmark","DEN","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8988155","COLUMBIA 118","In Service/Commission","20030818","2003",471,296,"China Classification Society 2003-08","Hong Kong, China","Bunkering Tanker",948,0,1288,0,.00,.00,.00,"DF","Distillate Fuel",.00,"NN","Not Applicable",2,,2,"Cummins","NTA-855-M","4","Oil",0,"Columbia Marine Services Ltd","Hong Kong, China","Hong Kong, China","Columbia Marine Services Ltd","Hong Kong, China","Hong Kong, China","Columbia Marine Services Ltd","Hong Kong, China","Hong Kong, China","Columbia Marine Services Ltd","5132596","Hong Kong, China","Hong Kong, China","Hong Kong, China","HKG","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8988478","HAYDEN","In Service/Commission","20040402","2004",398,317,"","United States Of America","Crew/Supply Vessel",4412,0,6000,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,,4,"Caterpillar","3512B","4","Oil",0,"Offshore Oil Services Inc","United States Of America","United States Of America","Offshore Oil Services Inc","United States Of America","United States Of America","Offshore Oil Services Inc","United States Of America","United States Of America","Offshore Oil Services Inc","5239916","United States Of America","United States Of America","United States Of America","USA","Offshore Oil Services Inc","5239916","United States Of America","United States Of America","USA","United States Of America","  Unknown","","","","","9991001"
"8990160","FERRY KASHIMA","In Service/Commission","20040101","2004",86,193,"","Japan","Passenger/Ro-Ro Ship (Vehicles)",736,0,1001,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Daihatsu","6DKM-20","4","Oil",0,"Saikai Engan","Japan","Japan","Saikai Engan","Japan","Japan","Saikai Engan","Japan","Japan","Saikai Engan","0277307","Japan","Japan","Japan","JPN","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8991205","TONG MAO 2","In Service/Commission","20040210","2004",3808,2268,"Isthmus Bureau of Shipping 2011-11","Belize","General Cargo Ship",1765,0,2400,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8320ZC","4","Oil",0,"Tongmao Ship Management Inc","China, People's Republic Of","China, People's Republic Of","Tongmao Ship Management Inc","China, People's Republic Of","China, People's Republic Of","Zhejiang Yonghang Shipping Co","China, People's Republic Of","China, People's Republic Of","Tongmao Ship Management Inc","5159826","China, People's Republic Of","China, People's Republic Of","Panama","CHR","Tongmao Ship Management Inc","5159826","China, People's Republic Of","China, People's Republic Of","CHR","Panama","Tongmao Ship Management Inc","China, People's Republic Of","CHR","China, People's Republic Of","Panama","5159826"
"8992091","EVER UNION","In Service/Commission","20041215","2004",5261,3221,"Sing-Lloyd 2011-09","Sierra Leone","General Cargo Ship",1765,0,2400,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Jun Hao Marine Shpg Co Ltd","Hong Kong, China","Hong Kong, China","Zhoushan Jinyu Shpg Devt Co","China, People's Republic Of","China, People's Republic Of","Jun Hao Marine Shpg Co Ltd","5466089","Hong Kong, China","Hong Kong, China","Hong Kong, China","HKG","Jun Hao Marine Shpg Co Ltd","5466089","Hong Kong, China","Hong Kong, China","HKG","Hong Kong, China","Jun Hao Marine Shpg Co Ltd","Hong Kong, China","HKG","Hong Kong, China","Hong Kong, China","5466089"
"8996669","MANYPLUS 18","In Service/Commission","20041122","2004",492,266,"Bureau Veritas 2011-12","Malaysia","Tug",1516,0,2062,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Mitsubishi","S6R2-MPTK2","4","Oil",0,"Highline Shipping Sdn Bhd","Malaysia","Malaysia","Highline Shipping Sdn Bhd","Malaysia","Malaysia","Highline Mariner Sdn Bhd","Malaysia","Malaysia","Highline Shipping Sdn Bhd","4063052","Malaysia","Malaysia","Malaysia","MAL","Hub Shipping Sdn Bhd","1987170","Malaysia","Malaysia","MAL","Malaysia","  Unknown","","","","","9991001"
"8997352","SHUNYO MARU","In Service/Commission","20040928","2004",1760,499,"","Japan","General Cargo Ship",1324,0,1800,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Daihatsu","6DKM-26","4","Oil",0,"Shunzan Kaiun KK","Japan","Japan","Shunzan Kaiun KK","Japan","Japan","Shunzan Kaiun KK","Japan","Japan","Shunzan Kaiun KK","0605971","Japan","Japan","Japan","JPN","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8998112","GLORIA MAY","In Service/Commission","20140907","2005",522,447,"","United States Of America","Platform Supply Ship",1250,0,1700,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Caterpillar","3508B","4","Oil",0,"Cheramie Holdings LLC","United States Of America","United States Of America","Gulf Resource Management Inc","United States Of America","United States Of America","Cheramie Holdings LLC","United States Of America","United States Of America","Gulf Resource Management Inc","4154151","United States Of America","United States Of America","United States Of America","USA","Gulf Resource Management Inc","4154151","United States Of America","United States Of America","USA","United States Of America","  Unknown","","","","","9991001"
"8998124","GIS-TIGER","In Service/Commission","20051101","2005",522,447,"","United States Of America","Platform Supply Ship",1250,0,1700,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",4,2,2,"Caterpillar","3508B","4","Oil",0,"GIS Oilfield Contractors","United States Of America","United States Of America","GIS Marine LLC","United States Of America","United States Of America","Gumbo Marine LLC","United States Of America","United States Of America","GIS Marine LLC","5602569","United States Of America","United States Of America","United States Of America","USA","GIS Marine LLC","5602569","United States Of America","United States Of America","USA","United States Of America","  Unknown","","","","","9991001"
"8998186","FREEDOM","In Service/Commission","20050830","2005",178,235,"American Bureau of Shipping 2005-08","United States Of America","Tug",3730,0,5072,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Caterpillar","3516B","4","Oil",0,"Marine Towing of Tampa","United States Of America","United States Of America","Tampa Tugs LLC","United States Of America","United States Of America","Tampa Tugs Two LLC","United States Of America","United States Of America","Tampa Tugs LLC","5178701","United States Of America","United States Of America","United States Of America","USA","Marine Towing of Tampa","4063154","United States Of America","United States Of America","USA","United States Of America","Marine Towing of Tampa","United States Of America","USA","United States Of America","United States Of America","4063154"
"8998461","DAIO MARU","In Service/Commission","20050325","2005",700,199,"","Japan","General Cargo Ship",736,0,1001,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Hanshin","LH26G","4","Oil",0,"Shin Nippon Kinkai","Japan","Japan","Daio Kisen YK","Japan","Japan","Daio Kisen YK","Japan","Japan","Daio Kisen YK","0197870","Japan","Japan","Japan","JPN","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8999881","RUI YANG","In Service/Commission","20050628","2005",5013,2879,"Universal Maritime Bureau 2011-09","Cambodia","General Cargo Ship",1765,0,2400,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Yantai Pingyang Shipping Co","China, People's Republic Of","China, People's Republic Of","Rui Yang Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","Yantai Pingyang Shipping Co","5075588","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","Yantai Pingyang Shipping Co","5075588","China, People's Republic Of","China, People's Republic Of","CHR","China, People's Republic Of","Yantai Pingyang Shipping Co","China, People's Republic Of","CHR","China, People's Republic Of","China, People's Republic Of","5075588"
"9015577","ZEYNEP KIRAN","In Service/Commission","20010602","2001",29330,17934,"Bureau Veritas 2001-00","Turkey","Bulk Carrier",7860,0,10686,0,32.00,34.00,195.04,"DF","Distillate Fuel",1378.08,"RF","Residual Fuel",4,3,1,"B&W","6S46MC-C","2","Oil",0,"Kiran Holding AS","Turkey","Turkey","Pasifik Gemi Isletmeciligi","Turkey","Turkey","Kirbulk Uluslararasi","Turkey","Turkey","Pasifik Gemi Isletmeciligi","4104437","Turkey","Turkey","Turkey","TRK","Pasifik Gemi Isletmeciligi","4104437","Turkey","Turkey","TRK","Turkey","Pasifik Gemi Isletmeciligi","Turkey","TRK","Turkey","Turkey","4104437"
"9015591","NIKI","In Service/Commission","20060816","2006",101648,56810,"Bureau Veritas 2006-08","Liberia","Bulk Carrier",11180,0,15200,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"B&W","8DKRN60/195","2","Oil",0,"Larus SA","Greece","Greece","Larus SA","Greece","Greece","Destiny Investments Inc","Greece","Greece","Larus SA","1704970","Greece","Greece","Liberia","GRC","Larus SA","1704970","Greece","Greece","GRC","Liberia","Larus SA","Greece","GRC","Greece","Liberia","1704970"
"9017393","WILSON SKY","In Service/Commission","20010807","2001",4263,3037,"Germanischer Lloyd 2002-00","Cyprus","General Cargo Ship",2400,0,3263,0,8.80,9.20,16.00,"DF","Distillate Fuel",153.00,"RF","Residual Fuel",1,,1,"MaK","8M25","4","Oil",114,"Wilson ASA","Norway","Norway","Wilson EuroCarriers AS","Norway","Norway","Weissenkirchen Co Ltd","Norway","Norway","Wilson Ship Management AS","1168545","Norway","Norway","Norway","NOR","Wilson Ship Management AS","1168545","Norway","Norway","NOR","Norway","Wilson Ship Management AS","Norway","NOR","Norway","Norway","1168545"
"9017422","PASADENA","In Service/Commission","20010316","2001",4280,2993,"Germanischer Lloyd 2001-09","Antigua & Barbuda","General Cargo Ship",2079,0,2827,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"MaK","6M453C","4","Oil",114,"Wessels Reederei GmbH & Co KG","Germany","Germany","Wessels Reederei GmbH & Co KG","Germany","Germany","Pasadena River Liner GmbH & Co","Germany","Germany","Wessels Reederei GmbH & Co KG","0999719","Germany","Germany","Germany","GEU","Wessels Reederei GmbH & Co KG","0999719","Germany","Germany","GEU","Germany","Wessels Reederei GmbH & Co KG","Germany","GEU","Germany","Germany","0999719"
"9017434","WILSON HOOK","In Service/Commission","20031127","2003",4280,2993,"Germanischer Lloyd 2004-00","Cyprus","General Cargo Ship",2079,0,2827,0,.00,.00,25.00,"DF","Distillate Fuel",190.00,"RF","Residual Fuel",1,,1,"MaK","6M453C","4","Oil",144,"Wilson ASA","Norway","Norway","Wilson EuroCarriers AS","Norway","Norway","Mautern Shipping Co Ltd","Norway","Norway","Wilson Ship Management AS","1168545","Norway","Norway","Norway","NOR","Wilson Ship Management AS","1168545","Norway","Norway","NOR","Norway","Wilson Ship Management AS","Norway","NOR","Norway","Norway","1168545"
"9019200","KAROLINE","In Service/Commission","20010527","2001",5657,4073,"Registro Italiano Navale 2006-12","Malta","General Cargo Ship",3000,0,4079,0,.00,12.50,81.00,"DF","Distillate Fuel",319.00,"RF","Residual Fuel",1,,1,"Wartsila","8R32D","4","Oil",387,"TBS Srl","Italy","Italy","TBS Srl","Italy","Italy","Cargo Invest Co Ltd","Italy","Italy","TBS Srl","5043331","Italy","Italy","Italy","ITL","TBS Srl","5043331","Italy","Italy","ITL","Italy","TBS Srl","Italy","ITL","Italy","Italy","5043331"
"9022881","AMBROSE BAY","In Service/Commission","20030303","2003",206,392,"","Namibia","Stern Trawler",646,0,878,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"A.B.C.","6DZC","4","Oil",0,"Merlus Management Pty Ltd","Namibia","Namibia","Merlus Fishing Pty Ltd","Namibia","Namibia","Merlus Fishing Pty Ltd","Namibia","Namibia","Merlus Fishing Pty Ltd","1698065","Namibia","Namibia","Namibia","NBA","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"9023598","YOU SHUN 9","In Service/Commission","20121207","2005",3247,1999,"Union Bureau of Shipping 2007-01","Cambodia","General Cargo Ship",735,0,999,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","LB8250ZLC","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Sea Joy Shipping Ltd","","Hong Kong, China","Youshun Shipping Co Ltd","China, People's Republic Of","Hong Kong, China","Sea Joy Shipping Ltd","5410145","","Hong Kong, China","Hong Kong, China","HKG","Sea Joy Shipping Ltd","5410145","","Hong Kong, China","HKG","Hong Kong, China","  Unknown","","","","","9991001"
"9026394","HOANG PHUONG 16","In Service/Commission","20040401","2004",1608,916,"Vietnam Register 2004-04","Vietnam","General Cargo Ship",425,0,578,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"S.K.L.","8NVD36A-1U","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Hoang Phuong Co Ltd","Vietnam","Vietnam","Hoang Phuong Co Ltd","Vietnam","Vietnam","Hoang Phuong Co Ltd","1666334","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"9026435","HOANG ANH 268-ALCI","In Casualty Or Repairing","20140808","2004",969,499,"Vietnam Register 2004-04","Vietnam","General Cargo Ship",382,0,519,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Weifang","X6170ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Agriculture Leasing Co I","4077958","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"9029669","SURENDRA SAI","In Service/Commission","20060127","2006",5,115,"Indian Register of Shipping 2006-01","India","Pilot Vessel",444,0,604,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"MWM","TBD4V12M","4","Oil",0,"India Govt","India","India","Paradip Port Trust","India","India","Paradip Port Trust","India","India","Paradip Port Trust","0049282","India","India","India","IND","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"9029712","WEN PENG","In Service/Commission","20000805","2000",2600,1550,"International Ship Class'n 2007-99","Kiribati","General Cargo Ship",919,0,1249,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Yanmar","Z280-ST3","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","DL East Shipping Co Ltd-Dalian","China, People's Republic Of","China, People's Republic Of","DL Wen Peng Shipping Co Ltd","China, People's Republic Of","China, People's Republic Of","DL East Shipping Co Ltd-Dalian","5043861","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","DL East Shipping Co Ltd-Dalian","5043861","China, People's Republic Of","China, People's Republic Of","CHR","China, People's Republic Of","DL East Shipping Co Ltd-Dalian","China, People's Republic Of","CHR","China, People's Republic Of","China, People's Republic Of","5043861"
"9034547","MAHARSHI PARASHURAM","In Service/Commission","20021017","2002",93322,51785,"Bureau Veritas 2002-00, Indian Register of Shipping 2004-08","India","Crude Oil Tanker",10960,9863,14901,13410,.00,.00,244.00,"DF","Distillate Fuel",2382.00,"RF","Residual Fuel",4,3,1,"Sulzer","6RTA58T","2","Oil",0,"India Govt","India","India","SCI","India","India","SCI","India","India","SCI","0052882","India","India","India","IND","SCI","0052882","India","India","IND","India","SCI","India","IND","India","India","0052882"
"9037147","ARIS","In Service/Commission","20120714","2001",38695,24252,"Germanischer Lloyd 2002-00","Marshall Islands","Products Tanker",8385,0,11400,0,27.00,30.40,349.90,"DF","Distillate Fuel",1153.00,"RF","Residual Fuel",5,4,1,"B&W","6DKRN60/195","2","Oil",0,"Coral Shipping Corp","Greece","Greece","Coral Shipping Corp","Greece","Greece","Aris Navigation SA","Greece","Greece","Coral Shipping Corp","1760272","Greece","Greece","Liberia","GRC","Coral Shipping Corp","1760272","Greece","Greece","GRC","Liberia","Coral Shipping Corp","Greece","GRC","Greece","Liberia","1760272"
"9037161","NORDANVIK","In Service/Commission","20130424","2002",5700,4075,"Bureau Veritas 2012-11","Sweden","Cement Carrier",2720,0,3698,0,.00,9.30,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"MAN-B&W","8L27/38","4","Oil",0,"SMT Shipping Cyprus Ltd","Cyprus","Cyprus","Eureka Shipping Ltd","Cyprus","Cyprus","Parainen Pearl Shipping-MAI","Cyprus","Cyprus","SMT Shipping Cyprus Ltd","1406266","Cyprus","Cyprus","Cyprus","CYP","SMT Eureka Cement","5563031","Poland","Poland","POL","Poland","SMT Eureka Cement","Poland","POL","Poland","Poland","5563031"
"9037173","CYPRUS CEMENT","In Service/Commission","20020820","2002",4555,4069,"Det Norske Veritas 2010-08","Bahamas","Cement Carrier",2721,0,3699,0,11.00,11.80,166.00,"DF","Distillate Fuel",426.00,"RF","Residual Fuel",5,4,1,"MAN-B&W","8L27/38","4","Oil",159,"Jebsen Skipsrederi AS","Norway","Norway","Jebsen Skipsrederi AS","Norway","Norway","JT Cement AS","Norway","Norway","Jebsen Skipsrederi AS","0367614","Norway","Norway","Norway","NOR","KGJ Cement Fleet Management","5496397","Norway","Norway","NOR","Norway","KGJ Cement Fleet Management","Norway","NOR","Norway","Norway","5496397"
"9037276","ADATRANS","In Service/Commission","20010616","2001",9187,6167,"Bureau Veritas 2013-09","Turkey","General Cargo Ship",3840,0,5221,0,.00,15.00,93.97,"DF","Distillate Fuel",540.80,"RF","Residual Fuel",1,,1,"MaK","8M32","4","Oil",0,"Denizsan Gemi Isletmeciligi","Turkey","Turkey","Denizsan Gemi Isletmeciligi","Turkey","Turkey","Guntrans Denizcilik Sanayi","Turkey","Turkey","Denizsan Gemi Isletmeciligi","1216303","Turkey","Turkey","Turkey","TRK","Denizsan Gemi Isletmeciligi","1216303","Turkey","Turkey","TRK","Turkey","Denizsan Gemi Isletmeciligi","Turkey","TRK","Turkey","Turkey","1216303"
"9037288","GIL","In Service/Commission","20010625","2001",9187,6167,"Bureau Veritas 2004-08","Bahamas","General Cargo Ship",3840,0,5221,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",3,2,1,"MaK","8M32C","4","Oil",216,"SMT Shipping Cyprus Ltd","Cyprus","Cyprus","SMT Shipping Cyprus Ltd","Cyprus","Cyprus","Yantek Shipping SA","Cyprus","Cyprus","SMT Shipping Cyprus Ltd","1406266","Cyprus","Cyprus","Cyprus","CYP","SMT Shipmanagement & Trans-POL","5332652","Poland","Poland","POL","Poland","SMT Shipmanagement & Trans-POL","Poland","POL","Poland","Poland","5332652"
